major_count	minor_count
79332.0	2984.0
79271.0	3030.0
78860.0	3443.0
79287.0	3008.0
78872.0	3439.0
79500.0	2820.0
79208.0	3102.0
79474.0	2833.0
78975.0	3325.0
79543.0	2771.0
79270.0	3038.0
79565.0	2752.0
79034.0	3266.0
79258.0	3059.0
79153.0	3145.0
79354.0	2959.0
79452.0	2860.0
79175.0	3138.0
79225.0	3081.0
78933.0	3359.0
79262.0	3052.0
78914.0	3386.0
79234.0	3053.0
79327.0	2977.0
79700.0	2622.0
79509.0	2801.0
79420.0	2899.0
79217.0	3097.0
79671.0	2650.0
79543.0	2775.0
79250.0	3061.0
79411.0	2903.0
79403.0	2898.0
79448.0	2873.0
79527.0	2795.0
79599.0	2716.0
79267.0	3041.0
79056.0	3265.0
79457.0	2860.0
79663.0	2652.0
79074.0	3231.0
79455.0	2861.0
79011.0	3275.0
78829.0	3471.0
79128.0	3182.0
79357.0	2943.0
79693.0	2626.0
79773.0	2549.0
79349.0	2962.0
79270.0	3042.0
